role;group;c1;c2;c3;c4;c5;c6;c7;c8;c9;c10;;average;c1;;;
Group Leader;2;20;20;20;20;20;10;20;15;15;15;;17,5;20;;12,125;11
Group Leader;3;20;20;20;5;2;10;1;10;5;1;;9,4;20;;;
Group Leader;4;10;12;20;20;20;20;20;20;20;0;;16,2;10;;;
Group Leader;5;11;15;18;19;19;19;20;18;15;10;;16,4;11;;;
Group Leader;6;10;20;20;20;20;20;20;20;20;20;;19;10;;;
Group Leader;7;8;13;6;7;12;5;5;5;5;6;;7,2;8;;;
Group Leader;8;2;5;8;5;5;8;5;5;5;1;;4,9;2;;;
Group Leader;9;7;5;11;5;7;5;7;7;5;5;;6,4;7;;;
;;;;;;;;;;;;;;;;;
Group Member 1;2;20;15;20;20;15;17;15;15;20;15;;17,2;20;;12,64375;12,3125
Group Member 1;3;20;20;20;20;1;5;10;1;5;1;;10,3;20;;;
Group Member 2;2;11;20;15;14;13;20;15;10;14;12;;14,4;11;;;
Group Member 2;3;14;20;2;1;5;3;10;14;3;1;;7,3;14;;;
Group Member 1;4;10;20;20;20;20;20;20;20;20;0;;17;10;;;
Group Member 2;4;5;10;20;20;20;20;20;20;20;20;;17,5;5;;;
Group Member 1;5;15;18;20;20;20;20;20;20;20;20;;19,3;15;;;
Group Member 2;5;20;15;15;20;20;20;20;20;20;19;;18,9;20;;;
Group Member 1;6;20;20;20;20;20;20;20;20;20;20;;20;20;;;
Group Member 2;6;12;8;17;18;20;20;20;20;20;20;;17,5;12;;;
Group Member 2;7;15;3;10;5;7;7;6;7;4;10;;7,4;15;;;
Group Member 1;7;5;6;3;7;6;7;8;7;15;3;;6,7;5;;;
Group Member 1;8;20;20;4;14;10;15;15;5;1;1;;10,5;20;;;
Group Member 2;8;1;4;8;10;15;5;2;3;10;20;;7,8;1;;;
Group Member 1;9;4;3;5;4;6;7;4;5;3;5;;4,6;4;;;
Group Member 2;9;5;5;8;10;5;7;7;2;6;4;;5,9;5;;;
