participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.participation_fee,session.config.real_world_currency_per_point,leader1.1.player.id_in_group,leader1.1.player.role,leader1.1.player.payoff,leader1.1.player.treat,leader1.1.player.rol,leader1.1.player.galera,leader1.1.player.contribution,leader1.1.player.s1,leader1.1.group.id_in_subsession,leader1.1.group.total_contribution,leader1.1.group.individual_share,leader1.1.group.final,leader1.1.subsession.round_number,leader1.2.player.id_in_group,leader1.2.player.role,leader1.2.player.payoff,leader1.2.player.treat,leader1.2.player.rol,leader1.2.player.galera,leader1.2.player.contribution,leader1.2.player.s1,leader1.2.group.id_in_subsession,leader1.2.group.total_contribution,leader1.2.group.individual_share,leader1.2.group.final,leader1.2.subsession.round_number,leader1.3.player.id_in_group,leader1.3.player.role,leader1.3.player.payoff,leader1.3.player.treat,leader1.3.player.rol,leader1.3.player.galera,leader1.3.player.contribution,leader1.3.player.s1,leader1.3.group.id_in_subsession,leader1.3.group.total_contribution,leader1.3.group.individual_share,leader1.3.group.final,leader1.3.subsession.round_number,leader1.4.player.id_in_group,leader1.4.player.role,leader1.4.player.payoff,leader1.4.player.treat,leader1.4.player.rol,leader1.4.player.galera,leader1.4.player.contribution,leader1.4.player.s1,leader1.4.group.id_in_subsession,leader1.4.group.total_contribution,leader1.4.group.individual_share,leader1.4.group.final,leader1.4.subsession.round_number,leader1.5.player.id_in_group,leader1.5.player.role,leader1.5.player.payoff,leader1.5.player.treat,leader1.5.player.rol,leader1.5.player.galera,leader1.5.player.contribution,leader1.5.player.s1,leader1.5.group.id_in_subsession,leader1.5.group.total_contribution,leader1.5.group.individual_share,leader1.5.group.final,leader1.5.subsession.round_number,leader1.6.player.id_in_group,leader1.6.player.role,leader1.6.player.payoff,leader1.6.player.treat,leader1.6.player.rol,leader1.6.player.galera,leader1.6.player.contribution,leader1.6.player.s1,leader1.6.group.id_in_subsession,leader1.6.group.total_contribution,leader1.6.group.individual_share,leader1.6.group.final,leader1.6.subsession.round_number,leader1.7.player.id_in_group,leader1.7.player.role,leader1.7.player.payoff,leader1.7.player.treat,leader1.7.player.rol,leader1.7.player.galera,leader1.7.player.contribution,leader1.7.player.s1,leader1.7.group.id_in_subsession,leader1.7.group.total_contribution,leader1.7.group.individual_share,leader1.7.group.final,leader1.7.subsession.round_number,leader1.8.player.id_in_group,leader1.8.player.role,leader1.8.player.payoff,leader1.8.player.treat,leader1.8.player.rol,leader1.8.player.galera,leader1.8.player.contribution,leader1.8.player.s1,leader1.8.group.id_in_subsession,leader1.8.group.total_contribution,leader1.8.group.individual_share,leader1.8.group.final,leader1.8.subsession.round_number,leader1.9.player.id_in_group,leader1.9.player.role,leader1.9.player.payoff,leader1.9.player.treat,leader1.9.player.rol,leader1.9.player.galera,leader1.9.player.contribution,leader1.9.player.s1,leader1.9.group.id_in_subsession,leader1.9.group.total_contribution,leader1.9.group.individual_share,leader1.9.group.final,leader1.9.subsession.round_number,leader1.10.player.id_in_group,leader1.10.player.role,leader1.10.player.payoff,leader1.10.player.treat,leader1.10.player.rol,leader1.10.player.galera,leader1.10.player.contribution,leader1.10.player.s1,leader1.10.group.id_in_subsession,leader1.10.group.total_contribution,leader1.10.group.individual_share,leader1.10.group.final,leader1.10.subsession.round_number,survey.1.player.id_in_group,survey.1.player.role,survey.1.player.payoff,survey.1.player.crt1,survey.1.player.crt2,survey.1.player.crt3,survey.1.player.crt,survey.1.player.extraversion,survey.1.player.agreeableness,survey.1.player.conscientiousness,survey.1.player.neuroticism,survey.1.player.openness,survey.1.player.alt,survey.1.player.pr,survey.1.player.nr,survey.1.player.tr,survey.1.player.bf1,survey.1.player.bf2,survey.1.player.bf3,survey.1.player.bf4,survey.1.player.bf5,survey.1.player.bf6,survey.1.player.bf7,survey.1.player.bf8,survey.1.player.bf9,survey.1.player.bf10,survey.1.player.al1,survey.1.player.pr1,survey.1.player.nr1,survey.1.player.nr2,survey.1.player.nr3,survey.1.player.tr1,survey.1.player.pr2,survey.1.player.al2,survey.1.player.com1,survey.1.player.com2,survey.1.player.com3,survey.1.player.com4,survey.1.player.com5,survey.1.player.com,survey.1.player.che,survey.1.player.rul,survey.1.group.id_in_subsession,survey.1.subsession.round_number,svo.1.player.id_in_group,svo.1.player.role,svo.1.player.payoff,svo.1.player.q1,svo.1.player.q2,svo.1.player.q3,svo.1.player.q4,svo.1.player.q5,svo.1.player.q6,svo.1.player.svo,svo.1.player.svo_type,svo.1.group.id_in_subsession,svo.1.subsession.round_number,end.1.player.id_in_group,end.1.player.role,end.1.player.payoff,end.1.player.info,end.1.player.pay,end.1.player.gender,end.1.player.age,end.1.group.id_in_subsession,end.1.subsession.round_number,introleader1.1.player.id_in_group,introleader1.1.player.role,introleader1.1.player.payoff,introleader1.1.player.treat,introleader1.1.player.galera,introleader1.1.player.rol,introleader1.1.player.q1,introleader1.1.player.q2,introleader1.1.player.q3,introleader1.1.player.q4,introleader1.1.player.q5,introleader1.1.player.q6,introleader1.1.player.q7,introleader1.1.group.id_in_subsession,introleader1.1.subsession.round_number
1,j8g7bmxy,testedobu,0,2,60,leader1,Role,2021-07-15 16:07:32.956953,1,,,0.0,m5yzbsi5,,,,,0,0.0,1.0,1,,0.0,,,,,,2,,,,1,1,,0.0,,,,,,2,,,,2,1,,0.0,,,,,,2,,,,3,1,,0.0,,,,,,2,,,,4,1,,0.0,,,,,,2,,,,5,1,,0.0,,,,,,2,,,,6,1,,0.0,,,,,,2,,,,7,1,,0.0,,,,,,2,,,,8,1,,0.0,,,,,,2,,,,9,1,,0.0,,,,,,2,,,,10,1,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,0.0,,,,,,,,,1,1,1,,0.0,,,,,1,1,,,,,,,,,,,,,,,
2,oe41gdgt,testedobu3,0,2,60,leader1,Role,2021-07-15 16:08:14.784772,1,,,0.0,m5yzbsi5,,,,,0,0.0,1.0,2,,0.0,,,,,,2,,,,1,2,,0.0,,,,,,2,,,,2,2,,0.0,,,,,,2,,,,3,2,,0.0,,,,,,2,,,,4,2,,0.0,,,,,,2,,,,5,2,,0.0,,,,,,2,,,,6,2,,0.0,,,,,,2,,,,7,2,,0.0,,,,,,2,,,,8,2,,0.0,,,,,,2,,,,9,2,,0.0,,,,,,2,,,,10,2,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,0.0,,,,,,,,,1,1,2,,0.0,,,,,1,1,,,,,,,,,,,,,,,
3,ywpj0i3f,testedobu2,0,2,60,leader1,Role,2021-07-15 16:08:54.822266,1,,,0.0,m5yzbsi5,,,,,0,0.0,1.0,3,,0.0,,,,,,2,,,,1,3,,0.0,,,,,,2,,,,2,3,,0.0,,,,,,2,,,,3,3,,0.0,,,,,,2,,,,4,3,,0.0,,,,,,2,,,,5,3,,0.0,,,,,,2,,,,6,3,,0.0,,,,,,2,,,,7,3,,0.0,,,,,,2,,,,8,3,,0.0,,,,,,2,,,,9,3,,0.0,,,,,,2,,,,10,3,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,,0.0,,,,,,,,,1,1,3,,0.0,,,,,1,1,,,,,,,,,,,,,,,
"4,x2ihqszd,60ef4bd9b3692ac77cb3a466,0,60,60,end,end,2021-07-15 16:26:01.852015,1,,,256.0,m5yzbsi5,,,,,0,0.0,1.0,1,,25.0,1,,""Group Member 1 and Group Member 2, and a Group Leader"",15,25.0,3,40.0,20.0,60.0,1,1,,29.0,,,,15,29.0,3,48.0,24.0,72.0,2,1,,27.0,,,,20,26.5,3,53.0,26.5,79.5,3,1,,30.0,,,,20,30.0,3,60.0,30.0,90.0,4,1,,30.0,,,,20,30.0,3,60.0,30.0,90.0,5,1,,33.0,,,,15,32.5,3,55.0,27.5,82.5,6,1,,30.0,,,,20,29.5,3,59.0,29.5,88.5,7,1,,21.0,,,,20,20.5,3,41.0,20.5,61.5,8,1,,10.0,,,,20,10.0,3,20.0,10.0,30.0,9,1,,21.0,,,,0,20.5,3,1.0,0.5,1.5,10,4,,0.0,5,5,47,0.0,3.0,2.5,3.5,3.5,4.5,2.5,3.928571428571429,3.0,3.0,4,4,3,3,2,4,5,4,4,5,4,5,2,3,4,3,4,200,5,4,2,4,3,3.6,50.0,50.0,1,1,4,,0.0,1,9,9,6,1,1,3.0,Individualistic,1,1,4,,0.0,60ef4bd9b3692ac77cb3a466,6.12,Male,25,1,1,,,,,,,,,,,,,,,"
"5,gf48ctji,5bf67b718422770001d8b3e8,0,60,60,end,end,2021-07-15 16:27:40.607604,1,,,281.0,m5yzbsi5,,,,,0,0.0,1.0,2,,30.0,1,Group Member 2,""Group Member 1 and Group Member 2, and a Group Leader"",10,30.0,3,40.0,20.0,60.0,1,2,,29.0,,,,15,29.0,3,48.0,24.0,72.0,2,2,,32.0,,,,15,31.5,3,53.0,26.5,79.5,3,2,,30.0,,,,20,30.0,3,60.0,30.0,90.0,4,2,,30.0,,,,20,30.0,3,60.0,30.0,90.0,5,2,,28.0,,,,20,27.5,3,55.0,27.5,82.5,6,2,,30.0,,,,20,29.5,3,59.0,29.5,88.5,7,2,,21.0,,,,20,20.5,3,41.0,20.5,61.5,8,2,,30.0,,,,0,30.0,3,20.0,10.0,30.0,9,2,,21.0,,,,0,20.5,3,1.0,0.5,1.5,10,5,,0.0,10,500,47,2.0,4.0,3.0,2.5,4.0,2.0,1.0,4.285714285714286,4.0,1.0,2,1,5,2,5,4,1,4,4,3,2,5,4,4,4,1,5,0,4,4,4,4,3,3.8,50.0,0.0,1,1,5,,0.0,1,9,9,9,1,1,3.0,Individualistic,1,1,5,,0.0,5bf67b718422770001d8b3e8,6.12,Male,24,1,1,,,,,,,,,,,,,,,"
"6,tfmjfa72,601cffb1c1236c01dc889df3,0,60,60,end,end,2021-07-15 16:29:12.370303,1,,,289.0,m5yzbsi5,,,,,0,0.0,1.0,3,,25.0,1,Group Leader,""Group Member 1 and Group Member 2, and a Group Leader"",15,25.0,3,40.0,20.0,60.0,1,3,,26.0,,,,18,26.0,3,48.0,24.0,72.0,2,3,,29.0,,,,18,28.5,3,53.0,26.5,79.5,3,3,,30.0,,,,20,30.0,3,60.0,30.0,90.0,4,3,,30.0,,,,20,30.0,3,60.0,30.0,90.0,5,3,,28.0,,,,20,27.5,3,55.0,27.5,82.5,6,3,,31.0,,,,19,30.5,3,59.0,29.5,88.5,7,3,,40.0,,,,1,39.5,3,41.0,20.5,61.5,8,3,,30.0,,,,0,30.0,3,20.0,10.0,30.0,9,3,,20.0,,,,1,19.5,3,1.0,0.5,1.5,10,6,,0.0,10,100,24,3.0,3.5,3.0,3.5,3.5,3.0,2.0,3.7857142857142856,3.0,2.0,3,4,3,2,2,4,4,4,3,2,3,4,4,3,2,2,5,200,5,3,4,5,3,4.0,50.0,0.0,1,1,6,,0.0,1,9,9,5,5,9,2.0,Prosocial,1,1,6,,0.0,601cffb1c1236c01dc889df3,6.28,Female,22,1,1,,,,,,,,,,,,,,,"
"7,qx3kadt4,60eb739ab2914976a1cc2265,0,60,60,end,end,2021-07-15 16:36:00.421710,1,,,265.0,m5yzbsi5,,,,,0,0.0,1.0,1,,20.0,1,,""Group Member 1 and Group Member 2, and a Group Leader"",20,20.0,4,40.0,20.0,60.0,1,1,,23.0,,,,20,22.5,4,45.0,22.5,67.5,2,1,,35.0,,,,2,35.0,4,34.0,17.0,51.0,3,1,,30.0,,,,1,30.0,4,22.0,11.0,33.0,4,1,,21.0,,,,0,20.5,4,1.0,0.5,1.5,5,1,,33.0,,,,0,32.5,4,25.0,12.5,37.5,6,1,,30.0,,,,0,29.5,4,19.0,9.5,28.5,7,1,,17.0,,,,10,16.5,4,13.0,6.5,19.5,8,1,,27.0,,,,0,27.0,4,14.0,7.0,21.0,9,1,,29.0,,,,0,29.0,4,18.0,9.0,27.0,10,7,,0.0,0,0,0,3.0,3.0,3.0,3.0,3.0,3.0,0.5,0.8571428571428572,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1.0,50.0,50.0,1,1,7,,0.0,5,5,5,5,5,5,3.0,Individualistic,1,1,7,,0.0,60eb739ab2914976a1cc2265,6.3,I do not want to inform,0,1,1,,,,,,,,,,,,,,,"
"8,b5nbmd3m,60f01f779afc698378ed5f9e,0,60,60,end,end,2021-07-15 16:37:22.799492,1,,,251.0,m5yzbsi5,,,,,0,0.0,1.0,2,,32.0,1,Group Member 2,""Group Member 1 and Group Member 2, and a Group Leader"",8,32.0,4,40.0,20.0,60.0,1,2,,33.0,,,,10,32.5,4,45.0,22.5,67.5,2,2,,25.0,,,,12,25.0,4,34.0,17.0,51.0,3,2,,20.0,,,,11,20.0,4,22.0,11.0,33.0,4,2,,21.0,,,,0,20.5,4,1.0,0.5,1.5,5,2,,28.0,,,,5,27.5,4,25.0,12.5,37.5,6,2,,23.0,,,,7,22.5,4,19.0,9.5,28.5,7,2,,27.0,,,,0,26.5,4,13.0,6.5,19.5,8,2,,13.0,,,,14,13.0,4,14.0,7.0,21.0,9,2,,29.0,,,,0,29.0,4,18.0,9.0,27.0,10,8,,0.0,10,100,24,3.0,1.0,4.0,3.5,3.0,4.5,2.375,3.428571428571429,4.333333333333333,3.0,5,5,4,4,2,1,3,5,4,5,4,4,5,4,4,3,4,150,4,3,4,3,4,3.6,50.0,25.0,1,1,8,,0.0,5,5,5,5,5,5,3.0,Individualistic,1,1,8,,0.0,60f01f779afc698378ed5f9e,5.77,Female,36,1,1,,,,,,,,,,,,,,,"
"9,vgg43bsb,60ec455fb5425c3dac09d5cf,0,60,60,end,end,2021-07-15 16:38:33.895421,1,,,207.0,m5yzbsi5,,,,,0,0.0,1.0,3,,28.0,1,Group Leader,""Group Member 1 and Group Member 2, and a Group Leader"",12,28.0,4,40.0,20.0,60.0,1,3,,28.0,,,,15,27.5,4,45.0,22.5,67.5,2,3,,17.0,,,,20,17.0,4,34.0,17.0,51.0,3,3,,21.0,,,,10,21.0,4,22.0,11.0,33.0,4,3,,20.0,,,,1,19.5,4,1.0,0.5,1.5,5,3,,13.0,,,,20,12.5,4,25.0,12.5,37.5,6,3,,18.0,,,,12,17.5,4,19.0,9.5,28.5,7,3,,24.0,,,,3,23.5,4,13.0,6.5,19.5,8,3,,27.0,,,,0,27.0,4,14.0,7.0,21.0,9,3,,11.0,,,,18,11.0,4,18.0,9.0,27.0,10,9,,0.0,1,5,24,2.0,4.0,4.0,4.0,1.5,3.5,3.0,5.0,1.0,4.0,2,3,2,5,3,4,1,4,2,4,5,5,1,1,1,4,7,200,4,3,3,2,1,2.6,50.0,0.0,1,1,9,,0.0,5,5,5,5,5,5,3.0,Individualistic,1,1,9,,0.0,60ec455fb5425c3dac09d5cf,4.64,Male,34,1,1,,,,,,,,,,,,,,,"
"10,y3hcgeax,60e2e0b89888d761ceb33833,0,60,60,end,end,2021-07-15 16:41:02.701795,1,,,323.0,m5yzbsi5,,,,,0,0.0,1.0,1,,28.0,1,,""Group Member 1 and Group Member 2, and a Group Leader"",1,28.0,5,18.0,9.0,27.0,1,1,,25.0,,,,5,25.0,5,20.0,10.0,30.0,2,1,,32.0,,,,3,32.0,5,30.0,15.0,45.0,3,1,,30.0,,,,2,29.5,5,23.0,11.5,34.5,4,1,,38.0,,,,4,38.0,5,44.0,22.0,66.0,5,1,,33.0,,,,10,32.5,5,45.0,22.5,67.5,6,1,,34.0,,,,13,33.5,5,53.0,26.5,79.5,7,1,,29.0,,,,20,29.0,5,58.0,29.0,87.0,8,1,,34.0,,,,13,33.5,5,53.0,26.5,79.5,9,1,,40.0,,,,1,39.5,5,41.0,20.5,61.5,10,10,,0.0,10,100,47,2.0,4.0,4.5,4.5,2.5,2.5,3.25,4.642857142857142,2.0,2.0,2,4,1,3,5,4,1,4,2,4,5,5,2,1,3,2,6,300,1,4,2,4,1,2.4,50.0,37.0,1,1,10,,0.0,5,5,5,5,5,5,3.0,Individualistic,1,1,10,,0.0,60e2e0b89888d761ceb33833,7.33,Female,33,1,1,,,,,,,,,,,,,,,"
